"CAMC_Name","CAMC_Country","CAMC_Birth","CAMC_Death","CAMC_Count","GND_Count","GND_URI","GND_Name","GND_Country","GND_Gender","GND_Birth","GND_Death","GND_VariantName","Birth","Death","Country"
"Azzaiolo, Filippo","ITA",NA,NA,10,1,"http://d-nb.info/gnd/134736869","Azzaiolo, Filippo",NA,1,"1530","1569",NA,"1530","1569","ITA"
"Bach, Carl Philipp Emanuel","DEU","1714","1788",20,1,"http://d-nb.info/gnd/118505505","Bach, Carl Philipp Emanuel","DEU",1,"1714","1788","Bach, Carl Philipp Emanuell; Bach, Carl Philipp Emmanuel; Bach, Carl Philip Emanuel; Bach, Carl Ph. E.; Bach, Carl P.; Bach, C. F. Em.; Bach, C. F. E.; Bach, C. Ph. Em.; Bach, C. Ph. E.; Bach, Karl P.; Bach, Philipp E.; Bach, Ph. E.; Bach, Ph. Eman.; Bach, ...; Bah, Karl Filip Emanuel; Bach, Karl Philipp Emanvel; Bahha, P. E.; Bach, Carlo Filippo Emanuele; Bach, C. P. E.; Bach, Karl Philipp Emanuel; Bach, Philipp Emanuel; Bach, Emanuel; Bach, K. P. E.","1714","1788","DEU"
"Bach, Heinrich","DEU","1615","1692",1,1,"http://d-nb.info/gnd/12028572X","Bach, Heinrich","DEU",1,"1615","1692","Bahs, Heinrihs; Bakh, Genrikh","1615","1692","DEU"
"Bach, Johann Sebastian","DEU","1685","1750",2462,1,"http://d-nb.info/gnd/11850553X","Bach, Johann Sebastian","DEU",1,"1685","1750","Bach; Bach, G. S.; Bach, Iogann Sebastʹjan; Bach, Joh. Sebastian; Bach, Giov. Sebast.; Bach, Jean Sebastien; Bach, Jean Sebastian; Bach, J. Seb.; Bach, Sebastiano; Bach, John Sebastian; Bach, Iogann S.; Bach, Iogann Sebast'jan; Bach, Giovanni Sebastian; Bach, Johan Sebastian; Bach, Joannes Sebastianus; Bach, Giov. Seb.; Bach, Giovanni S.; Bāḵ, Jōhān Sebaṣtī'ān; Bach, I. S.; Bach, J.-S.; Bach, Giovanni Sebastiano; Bach, Jean-Sebastien; Bach, Sebastian; Bach, Jan Sebastian; Bach, J. S.; Bach, Johann-Sebastian; Bach, Jean S.; Bach, Johannes S.; Bach, Johannes Sebastian; Bach, Joh. Seb.; Bach, Joh.-Seb.; Bach, Joh. Sebas.; Bach, Johann Seb.; Bach, Joh. Sebast.; Bach, Johann S.; Bach, Iogann Sebastjan; Bach, Jean Sébastien; Bach, Jean-Sébastien; Bach, Johann; Bach, Iogann Sebastʹjan; Bakh, Iogann Sebastian","1685","1750","DEU"
"Bach, Wilhelm Friedemann","DEU","1710","1784",10,1,"http://d-nb.info/gnd/118505548","Bach, Wilhelm Friedemann","DEU",1,"1710","1784","Bach, Wilhelm F.; Bach, Guglielmo Friedeman; Bach, Guiglielmo Friedemanno; Bach, Guillaume Friedemann; Bach, Gvillaume Friedemann; Bach, Wilh. Friedeman̄; Bach, W. F.; Bach, Fr.; Bach, Friedemann","1710","1784","DEU"
"Bachman, Georges",NA,"1848","1894",1,1,NA,"not found",NA,0,NA,NA,NA,"1848","1894",NA
"Backer-Gröndahl, Agathe Ursula","NOR","1847","1907",1,1,NA,"not found",NA,0,NA,NA,NA,"1847","1907","NOR"
"Badarzewska, Tekla","POL","1839","1862",2,1,"http://d-nb.info/gnd/103843299","Bądarzewska-Baranowska, Tekla","POL",2,"1834","1861","Ba̧darzewska, Tekla; Bondarzewska, Tekla; Ba̧darzewska-Baranowska, Tekla; Baranowska, Tekla Ba̧darzewska-; Badarzewska Baranowska, Tekla; Badarzewska, Thekla; Badarzewska, Th.; Badarzewska, T.; Bardazewska, Tekla; Badarczewska, Thekla; Baranowska, Tekla Badarzewska-; Badarzewska, Thécla; Badarczewska, Tecla; Baranowska, Tekla Bądarzewska-; Badarzewska, Tekla; Badarszewska, Tecla",NA,NA,"POL"
"Baeza, W. Ricardo","CHL","1969",NA,4,1,NA,"not found",NA,0,NA,NA,NA,"1969",NA,"CHL"
"Baker, Jeffrey Reid",NA,"1947",NA,4,1,NA,"not found",NA,0,NA,NA,NA,"1947",NA,NA
