Row	CAMC_Name	GND_URI	GND_Name	GND_Land	GND_Gender	GND_Birth	GND_Death	GND_VariantName
86	Ball, Jeff	NA	not found	NA	0	NA	NA	NA
87	Ballard, Simon	NA	not found	NA	0	NA	NA	NA
88	Banchieri, Adriano	http://d-nb.info/gnd/118506374	Banchieri, Adriano	XA-IT	1	1568-09-03	1634	Banchieri, Tommaso; Banchiero, Adriano; Banchieri, Andriano; Attabalippe; Attalippo; , dal Perù; Atalippo; , dal Perù; Attabalippa; , dal Perù; Banchieri, Adrian; Scaligeri dalla Fratta, Camillo; Dalla Fratta, Camillo S.; Fratta, Camillo S. dalla; Scaliggeri dalla Fratta, Camillo; Scaligeri DallaFratta, Camillo; DallaFratta, Camillo S.; Banchieri, Adriano Tomaso; Bianchieri, Adriano; Adriano, da Bologna; Bologna, Adriano da; Bianchieri, A.; Bankieri, A.; Bankieri, Adriano; Banchieri, A.
89	Banister, John	http://d-nb.info/gnd/140076050	Banister, John	XA-GB	0	1662	1736	NA
90	Bao, Yuan-kai	NA	not found	NA	0	NA	NA	NA
91	Baptista, Sor Gracia	NA	not found	NA	0	NA	NA	NA
92	Barba, Hernán Vinicio	NA	not found	NA	0	NA	NA	NA
93	Barber, Samuel	http://d-nb.info/gnd/118924109	Barber, Samuel	XD-US	1	1910-03-09	1981-01-23	Barber, ...; Barber, S.; Barber, Samuel Osmond; Barber, Sam
94	Barbieri, Francisco A.	http://d-nb.info/gnd/118849255	Barbieri, Francisco Asenjo	XA-ES	1	1823	1894	Asenjo-Barbieri, Francisco; Barbieri, Francisco; Acenjo Barbieri, Francisco; Barbieri, Francisco Asenjo y; Barbieri, Francisco A.; Barbieri, F. A.; Aseujo Barbieri, Francisco; Asenjo Barbieri, Francisco; Asenjo y Barbieri, Francisco
95	Barbireau, Jacobus	http://d-nb.info/gnd/121970485	Barbireau, Jacob	XA-NL	0	1420	1491	Jacobus, Barberianus; Jacob, Barbireau; Barbireau, Jacobus; Barberianus, Jacobus; Barbirianus, Jacobus; Jacobus, Barbirianus; Barbarian, Jacobus; Jacobus, Barbarian; Barbireau, Jacques; Jacques, Barbireau
96	Barbosa, Cacilda Borges	NA	not found	NA	0	NA	NA	NA
97	Bargiel, Woldemar	http://d-nb.info/gnd/116056908	Bargiel, Woldemar	XA-DE	1	1828-10-12	1897-02-23	Bargiel, Waldemar; Bargiel, Woldem.
98	Bargy, Roy	NA	not found	NA	0	NA	NA	NA
99	Barnaba, Fabio	NA	not found	NA	0	NA	NA	NA
100	Barnard, George D.	NA	not found	NA	0	NA	NA	NA
101	Barnett, John	http://d-nb.info/gnd/116059028	Barnett, John Francis	XA-GB	1	1837-10-16	1916-11-24	Barnett, John F.
102	Barnhouse, Charles	NA	not found	NA	0	NA	NA	NA
103	Baron, Ernst Gottlieb	http://d-nb.info/gnd/100422977	Baron, Ernst Gottlieb	XA-DE	1	1696-02-17	1760-04-12	Baron, Ernst G.; Baron, E. G.
104	Barret, John	NA	not found	NA	0	NA	NA	NA
105	Barrette, Robert M.	NA	not found	NA	0	NA	NA	NA
106	Barrios-Mangoré, Agustín	NA	not found	NA	0	NA	NA	NA
107	Bartlet, John	http://d-nb.info/gnd/134714733	Bartlet, John	XA-GB	0	NA	NA	Bartlett, John
108	Bartók, Béla	http://d-nb.info/gnd/118506900	Bartók, Béla	XA-RO; XA-HU; XD-US	1	1881-03-25	1945-09-26	Bartók, B.; Bartók, ...; Bartók, Béla Viktor János; Bartók-Reschofsky, ...; Bartók-Székely, ...; Bartók-Szigeti, ...; Bartok, Bela; Барток, Бела
109	Bataille, Gabriel	http://d-nb.info/gnd/134322827	Bataille, Gabriel	NA	0	NA	NA	NA
109	Bataille, Gabriel	http://d-nb.info/gnd/1089727550	Bataille, Gabriel	ZZ	0	1575	1630	NA
110	Batten, Adrian	http://d-nb.info/gnd/115739262	Batten, Adrian	XA-GB	0	1591	1637	NA
111	Bax, Sir Arnold	http://d-nb.info/gnd/118657658	Bax, Arnold	XA-GB; XA-IE	1	1883-11-08	1953-10-03	Bax, ...; Bax, Arnold Edward Trevor; Bax, Arnold Trevor; O'Byrne, Dermot
